DGalpNAca1-3(LFucpa1-2)DGalpb1-4DGlcpNAcb1-6DGalpNAcb1-OME / α-l-Fucv (1→2) [α-d-GalNAciv (1→3) ]β-d-Galiii (1→4) β-d-GlcNAcii (1→6) β-d-GalNAcOMei,,,,,,,,,,
,,,,,,,,,,
,1,2,3,4,5,6,6,Me_2,CO_2,Me_1
→6) β-d-GalNAcOMei,103.46,53.5,71.88,68.84,74.49,69.66,,23.12,175.78,57.83
Expected Calc. Error: 0.11,4.39,3.92,3.76,3.94,3.81,3.87,4.1,2.06,,3.56
→4) β-d-GlcNAcii (1→,102.23,56.02,73,77.28,76.14,61.08,,23.02,175.2,
Expected Calc. Error: 0.47,4.58,3.77,3.69,3.76,3.5,3.85,3.98,2.04,,
"→2,3) β-d-Galiii (1→",100.38,72.12,76.17,64.02,75.76,61.86,,,,
Expected Calc. Error: 3.27,4.63,3.92,3.98,4.2,3.64,3.68,3.72,,,
α-d-GalNAciv (1→,92.2,49.95,68.41,69.22,72.31,62.02,,22.8,175.4,
Expected Calc. Error: 2.85,5.24,4.27,3.78,4.06,3.95,3.83,3.83,2.04,,
α-l-Fucv (1→,99.22,68.63,70.69,72.62,67.69,16.01,,,,
Expected Calc. Error: 1.00,5.37,3.8,3.73,3.8,4.32,1.24,,,,
,,,,,,,,,,
