Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z
ATOM,1,C1,DGlcNAc,1,-1.286,1.938,-0.094
ATOM,2,C2,DGlcNAc,1,-1.944,2.300,1.257
ATOM,3,C3,DGlcNAc,1,-3.472,2.102,1.161
ATOM,4,C4,DGlcNAc,1,-4.076,2.887,-0.027
ATOM,5,C5,DGlcNAc,1,-3.320,2.563,-1.351
ATOM,6,C6,DGlcNAc,1,-3.742,3.463,-2.526
ATOM,7,O1,DGlcNAc,1,0.084,2.283,-0.060
ATOM,8,O3,DGlcNAc,1,-4.064,2.542,2.376
ATOM,9,O4,DGlcNAc,1,-5.451,2.533,-0.128
ATOM,10,O5,DGlcNAc,1,-1.875,2.718,-1.165
ATOM,11,O6,DGlcNAc,1,-3.480,4.832,-2.225
ATOM,12,HO3,DGlcNAc,1,-3.450,2.251,3.059
ATOM,15,H1,DGlcNAc,1,-1.393,0.854,-0.305
ATOM,16,H2,DGlcNAc,1,-1.729,3.364,1.481
ATOM,17,H3,DGlcNAc,1,-3.686,1.022,1.028
ATOM,18,H4,DGlcNAc,1,-3.992,3.972,0.181
ATOM,19,H5,DGlcNAc,1,-3.541,1.513,-1.629
ATOM,20,H61,DGlcNAc,1,-3.185,3.173,-3.437
ATOM,21,H62,DGlcNAc,1,-4.814,3.323,-2.765
ATOM,22,NM,DGlcNAc,1,-1.412,1.481,2.293
ATOM,23,CM,DGlcNAc,1,-0.755,2.054,3.351
ATOM,24,CM2,DGlcNAc,1,-0.239,1.058,4.371
ATOM,25,OM,DGlcNAc,1,-0.583,3.251,3.483
ATOM,26,HM1,DGlcNAc,1,-1.521,0.458,2.247
ATOM,27,HM2,DGlcNAc,1,0.276,1.579,5.211
ATOM,28,HM3,DGlcNAc,1,0.491,0.363,3.896
ATOM,29,HM4,DGlcNAc,1,-1.082,0.466,4.797
ATOM,30,CM,DGlcNAc,1,0.782,1.556,0.954
ATOM,31,HM1,DGlcNAc,1,0.376,0.568,1.029
ATOM,32,HM2,DGlcNAc,1,0.672,2.061,1.891
ATOM,33,HM3,DGlcNAc,1,1.821,1.498,0.701
ATOM,34,C1,AFL,2,-2.590,5.416,-3.174
ATOM,35,C2,AFL,2,-2.453,6.945,-3.048
ATOM,36,C3,AFL,2,-1.674,7.315,-1.777
ATOM,37,C4,AFL,2,-0.339,6.552,-1.756
ATOM,38,C5,AFL,2,-0.601,5.045,-1.915
ATOM,39,C6,AFL,2,0.678,4.200,-1.950
ATOM,40,O5,AFL,2,-1.316,4.767,-3.124
ATOM,42,O2,AFL,2,-3.759,7.511,-3.117
ATOM,43,O3,AFL,2,-1.517,8.729,-1.716
ATOM,44,O4,AFL,2,0.526,6.968,-2.812
